aop_elements,aop_elements_id,sort,mark1,mark2,mark3,mark4,mark5,Acronym,Trendency,Label
"Increase, Vitellogenin synthesis in liver",307,KE,Increase,Vitellogenin ,liver,,,VTG,Increase,Y
"Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development",309,KE,Reduction,Vitellogenin ,oocyte growth,development,,VTG,Reduction,Y
"Alteration, Wnt pathway",310,KE,Alteration,Wnt pathway,,,,,Alteration,Y
"Increase, Allergic Respiratory Hypersensitivity Response",313,AO,Increase,Allergic Respiratory Hypersensitivity Response,,,,,Increase,Y
"Altered, Cardiovascular development/function",317,KE,Alteration,Cardiovascular development,Cardiovascular function,,,,Alteration,Y
"Loss, Cochlear function",319,AO,Loss,Cochlear function,,,,,Loss,Y
"N/A, Cyanosis occurs",321,AO,,Cyanosis occurs,,,,,,Y
"Increased, Disease susceptibility",323,AO,Increase,Disease susceptibility,,,,,Increase,Y
"Accumulation, Fatty acid",327,KE,Accumulation,Fatty acid,,,,,Accumulation,Y
"Decrease, Fecundity",328,AO,Decrease,Fecundity,,,,,Decrease,Y
"Decrease, Fertility",330,AO,Decrease,Fertility,,,,,Decrease,Y
"Increase, Heritable mutations in offspring",336,AO,Increase,Heritable mutations,offspring,,,,Increase,Y
"N/A, Impairment of reproductive capacity",337,AO,,reproductive capacity,,,,,,Y
"Altered, Larval development",339,AO,Alteration,Larval development,,,,,Alteration,Y
"Impairment, Learning and memory",341,KE,Impairment,Learning,memory,,,,Impairment,Y
"Impairment, Learning and memory",341,AO,Impairment,Learning,memory,,,,Impairment,Y
"N/A, Liver fibrosis",344,AO,,Liver fibrosis,,,,,,Y
"N/A, Liver Steatosis",345,AO,,Liver Steatosis,,,,,,Y
"Formation, Liver tumor",347,KE,Formation,Liver tumor,,,,,Formation,Y
"Malformation, Male reproductive tract",348,AO,Malformation,Male reproductive tract,,,,,Malformation,Y
"Increase, Mortality",350,AO,Increase,Mortality,,,,,Increase,Y
Increased Mortality,351,AO,Increase,Mortality,,,,,Increase,Y
"N/A, Neurodegeneration",352,KE,,Neurodegeneration,,,,,Degeneration,Y
"N/A, Neurodegeneration",352,AO,,Neurodegeneration,,,,,Degeneration,Y
"Increased, Oxidative damage",356,AO,Increase,Oxidative damage,,,,,Increase,Y
"Cholestasis, Pathology",357,AO,Cholestasis,Pathology,,,,,Cholestasis,Y
"Decrease, Population trajectory",360,AO,Decrease,Population trajectory,,,,,Decrease,Y
"Decline, Population",361,AO,Decline,Population,,,,,Decline,Y
"Altered, Reproductive behaviour",363,AO,Alteration,Reproductive behaviour,,,,,Alteration,Y
Uroporphyria,369,AO,,Uroporphyria,,,,,,Y
"Formation, Pro-mutagenic DNA Adducts",373,MIE,Formation,Pro-mutagenic DNA Adducts,,,,DNA,Formation,Y
"Increased, Induced Mutations in Critical Genes",376,KE,Increase,Induced Mutations,Critical Genes,,,,Increase,Y
"Tumorigenesis, Hepatocellular carcinoma",378,AO,Tumorigenesis,Hepatocellular carcinoma,,,,,Tumorigenesis,Y
Reduced levels of BDNF,381,KE,Reduction,BDNF,,,,BDNF,Reduction,Y
"Aberrant, Dendritic morphology",382,KE,Aberration,Dendritic morphology,,,,,Aberration,Y
Decrease of synaptogenesis,385,KE,Decrease,synaptogenesis,,,,,Decrease,Y
Decrease of neuronal network function,386,KE,Decrease,neuronal network function,,,,,Decrease,Y
"Overactivation, NMDARs",388,KE,Overactivation,NMDARs,,,,NMDARs,Overactivation,Y
"Increased, Intracellular Calcium overload",389,KE,Increase,Intracellular Calcium overload,,,,,Increase,Y
"Covalent Binding, Protein",396,MIE,Covalent Binding,Protein,,,,,Covalent Binding,Y
"Activation, Dendritic Cells",398,KE,Activation,Dendritic Cells,,,,,Activation,Y
"Increase, Biliary excretion TH glucuronide",401,KE,Increase,TH glucuronide,Biliary,,,,Increase,Y
"Cognitive Function, Decreased ",402,AO,Decrease,Cognitive Function,,,,,Decrease,Y
"Suppression, Immune system",403,KE,Suppression,Immune system,,,,,Suppression,Y
"irregularities, ovarian cycle",405,AO,irregularities,ovarian cycle,,,,,irregularities,Y
"impaired, Fertility",406,AO,impairment,Fertility,,,,,impairment,Y
"reduction in ovarian granulosa cells, Aromatase (Cyp19a1)",408,MIE,Reduction,ovarian granulosa cells,Aromatase,Cyp19a1,,Cyp19a1,Reduction,Y
"Metabolism of AFB1, Production of Reactive Electrophiles",409,KE,Metabolism ,AFB1,Reactive Electrophiles,,,AFB1,,Y
"Reduction, Testosterone synthesis in Leydig cells",413,KE,Reduction,Testosterone,Leydig cells,,,,Reduction,Y
"Increase, Luteinizing hormone (LH) ",414,KE,Increase,Luteinizing hormone ,,,,,Increase,Y
"Hyperplasia, Leydig cell",415,KE,Hyperplasia,Leydig cell ,,,,,Hyperplasia,Y
"Increase proliferation, Leydig cell ",416,KE,Increase,proliferation,Leydig cell ,,,,Increase,Y
"skewed, sex ratio",417,AO,skewness,sex ratio,,,,,skewness,Y
"Increased, Vitellogenin synthesis",418,KE,Increase,Vitellogenin,,,,VTG,Increase,Y
"Increased, renal vitellogenin deposition",419,KE,Increase,renal vitellogenin,,,,VTG,Increase,Y
"Increased, glomerular rupture and renal hemorrhaging",421,KE,Increase,glomerular rupture,renal hemorrhaging,,,,Increase,Y
"Increased, nephropathy",422,KE,Increase,nephropathy,,,,,Increase,Y
"Inhibition, Na+/I- symporter (NIS)",424,MIE,Inhibition,Na+ symporter,NIS,I- symporter,,NIS,Inhibition,Y
Decrease of Thyroidal iodide,425,KE,Decrease,Thyroidal iodide,,,,,Decrease,Y
"Decreased, Thyroxine (T4) in serum",426,KE,Decrease,Thyroxine,T4,serum,,T4,Decrease,Y
"Decreased, Population trajectory",442,AO,Decrease,Population trajectory,,,,,Decrease,Y
"Increased, Atrioventricular block and bradycardia",444,KE,Increase,Atrioventricular block,bradycardia,,,,Increase,Y
Respiratory distress/arrest,445,KE,,Respiratory distress,arrest,,,,Respiratory distress,Y
"Reduction, testosterone level",446,KE,Reduction,testosterone level,,,,,Reduction,Y
"Reduction, Cholesterol transport in mitochondria",447,KE,Reduction,Cholesterol,mitochondria,,,,Reduction,Y
"Suppression, VLDL secretion",450,KE,Suppression,VLDL secretion,,,,VLDL,Suppression,Y
"Inhibition, Mitochondrial fatty acid beta-oxidation",451,KE,Inhibition,Mitochondrial fatty acid beta-oxidation,,,,,Inhibition,Y
"Increased, Triglyceride formation",454,KE,Increase,Triglyceride,,,,,Increase,Y
"Accumulation, Liver lipid",455,AO,Accumulation,Liver lipid,,,,,Accumulation,Y
"Suppression, Constitutive androstane receptor, NR1l3",456,MIE,Suppression,Constitutive androstane receptor,NR1l3,,,,Suppression,Y
"Activation, SREBF1",457,KE,Activation,SREBF1,,,,SREBF1,Activation,Y
"Increased, De Novo FA synthesis",458,KE,Increase,De Novo FA,,,,,Increase,Y
"Increased, Liver Steatosis",459,KE,Increase,Liver Steatosis,,,,,Increase,Y
"Increased, Liver Steatosis",459,AO,Increase,Liver Steatosis,,,,,Increase,Y
"Suppression, HNF4alpha",461,MIE,Suppression,HNF4alpha,,,,,Suppression,Y
"Up Regulation, SCD-1",462,KE,Up Regulation,SCD-1,,,,SCD-1,Up Regulation,Y
"Inhibition, PPAR alpha",468,MIE,Inhibition,PPAR alpha,,,,PPAR ,Inhibition,Y
"Inhibition, FoxA2",471,KE,Inhibition,FoxA2,,,,FoxA2,Inhibition,Y
"Down Regulation, CPT1A",472,KE,Down Regulation,CPT1A,,,,CPT1A,Down Regulation,Y
"Down Regulation, HMGCS2",474,KE,Down Regulation,HMGCS2,,,,HMGCS2,Down Regulation,Y
"Activation, NRF2",478,MIE,Activation,NRF2,,,,NRF2,Activation,Y
"Activation, NR1H4",479,MIE,Activation,NR1H4,,,,NR1H4,Activation,Y
"Activation, SHP",480,KE,Activation,SHP,,,,SHP,Activation,Y
"Decreased, DHB4/HSD17B4",482,KE,Decrease,DHB4,HSD17B4,,,DHB4/HSD17B4,Decrease,Y
"Activation, LXR alpha",483,KE,Activation,LXR alpha,,,,LXR ,Activation,Y
"Activation, AKT2",484,KE,Activation,AKT2,,,,AKT2,Activation,Y
systemic inflammation leading to hepatic steatosis,486,MIE,,inflammation,hepatic steatosis,,,,Hepatic steatosis,Y
"Decrease, Ovulation",488,KE,Decrease,Ovulation,,,,,Decrease,Y
"Clonal Expansion/Cell Proliferation, to form Altered Hepatic Foci (AHF)",491,KE,Clonal Expansion,Cell Proliferation,Altered Hepatic Foci,AHF,,AHF,Clonal Expansion,Y
"Increased, Insufficient repair or mis-repair of pro-mutagenic DNA adducts",493,KE,Increase,pro-mutagenic DNA adducts,,,,DNA,Increase,Y
"Glucocorticoid Receptor Agonist, Activation",494,MIE,Activation,Glucocorticoid Receptor,,,,GR,Activation,Y
Repressed expression of steroidogenic enzymes ,495,KE,Repressed expression,steroidogenic enzymes ,,,,,Repressed expression,Y
"Increased apoptosis, decreased number of adult Leydig Cells ",496,KE,Increase,apoptosis,Decrease,adult Leydig Cells ,,,Increase,Y
"Decreased sperm quantity / quality in the adult, Decreased fertility ",505,AO,Decrease,sperm quantity,fertility ,sperm quality,,*,Decrease,Y
"Decreased sperm quantity or quality in the adult, Decreased fertility ",520,KE,Decrease,sperm quantity,fertility ,sperm quality,,*,Decrease,Y
"Decreased sperm quantity or quality in the adult, Decreased fertility ",520,AO,Decrease,sperm quantity,fertility ,sperm quality,,*,Decrease,Y
"Apoptosis of adult Leydig cells, Decreased testosterone by adult Leydig cells",525,KE,Decrease,testosterone,adult Leydig cells,Apoptosis,,,Decrease,Y
"Inhibition, Inhibition of Dopamine-beta-hydroxylase",526,MIE,Inhibition,Dopamine-beta-hydroxylase,,,,,Inhibition,Y
"Decreased, Decreased fecundity ",527,AO,Decrease,fecundity ,,,,,Decrease,Y
"Decreased, Synthesis of NE",528,KE,Decrease,NE,,,,NE,Decrease,Y
"Decreased, GnRH cfos activity",529,KE,Decrease,GnRH cfos,,,,GnRH ,Decrease,Y
"Decreased, GnRH pulsatility/release",530,KE,Decrease,GnRH pulsatility,GnRH release,,,GnRH ,Decrease,Y
"Decreased, LH Surge",531,KE,Decrease,LH surge,,,,LH,Decrease,Y
"Delayed, Ovulation",532,KE,Delay,Ovulation,,,,,Decrease,Y
"Decreased, Cortical granule release/distribution upon fertilization",533,KE,Decrease,Cortical granule,fertilization,,,,Increase,Y
"Decreased testosterone by the fetal Leydig cells, Dysgensis of fetal Leydig cells",540,KE,Decrease,testosterone,fetal Leydig cells,Dysgensis,,,Decrease,Y
"Decreased testosterone by the fetal Leydig cells, Decreased COUP-TFII stem Leydig cells",541,KE,Decrease,testosterone,fetal Leydig cells,COUP-TFII,,,Antagonism,Y
"Decreased fertility in the adult, Decreased sperm quantity and/or quality in the adult testis",543,AO,Decrease,fertility ,sperm quantity,sperm quality,,*,Decrease,Y
"Activation, Nicotinic acetylcholine receptor",559,MIE,Activation,Nicotinic acetylcholine receptor,,,,,Activation,Y
"Abnormal, Foraging activity and behavior",560,KE,abnormality,Foraging,,,,,abnormality,Y
"Reduced, Food storage",561,KE,Reduction,Food storage,,,,,Reduction,Y
"Death/Failure, Colony",563,AO,Death,Failure,Colony,,,,Death,Y
"Abnormal, Roll change within caste",564,KE,abnormality,caste,Roll,,,,abnormality,Y
"Reduced, Brood care",565,KE,Reduction,Brood care,,,,,Reduction,Y
"impaired, Larval development",566,AO,impairement,Larval development,,,,,impairement,Y
"impaired, Hive thermoregulation",568,KE,impairement,Hive thermoregulation,,,,,impairement,Y
"impaired, Hive thermoregulation",568,AO,impairement,Hive thermoregulation,,,,,impairement,Y
"Accumulation, Damaged mitochondrial DNA",570,KE,Accumulation,mitochondrial DNA,,,,DNA,Accumulation,Y
"Accelerated, Aging",571,KE,Acceleration,Aging,,,,,Acceleration,Y
"Decrease, Number of worker bees",572,AO,Decrease,worker bees,,,,,Decrease,Y
"Increase, Energetic demands and therefore metabolic stress",573,KE,Increase,Energetic demands,metabolic stress,,,,Increase,Y
"Increased, Appetite and hunger",574,KE,Increase,Appetite,hunger,,,,Increase,Y
"Increased, Viral susceptibility",576,KE,Increase,Viral,,,,,Increase,Y
"impaired, Development",577,KE,impairement,Development,,,,,impairement,Y
"Decreased, Glucose oxidase enzyme activity",578,KE,Decrease,Glucose oxidase enzyme,,,,,Decrease,Y
"Decreased, Hydrogen peroxide production",579,KE,Decrease,Hydrogen peroxide,,,,,Decrease,Y
"Reduced, Antiseptic incorporated in food",580,KE,Reduction,Antiseptic,food,,,,Reduction,Y
"Inhibition, sodium channel",584,MIE,Inhibition,sodium channel,,,,,Inhibition,Y
"Decreased, Sodium conductance 1",585,KE,Decrease,Sodium conductance 1,,,,,Decrease,Y
"Reduced, swimming speed",586,KE,Reduction,swimming speed,,,,,Reduction,Y
"Reduced, feeding 1",587,KE,Reduction,feeding 1,,,,,Reduction,Y
"Reduced, feeding 1",587,AO,Reduction,feeding 1,,,,,Reduction,Y
"Increased, predation",588,KE,Increase,predation,,,,,Increase,Y
"Increased, predation",588,AO,Increase,predation,,,,,Increase,Y
"N/A, hypoxia",590,KE,,hypoxia,,,,,Hypoxia,Y
"Increased, amputations",591,AO,Increase,amputations,,,,,Increase,Y
"Reduced, survival",592,AO,Reduction,survival,,,,,Reduction,Y
"Reduced, survival",592,AO,Reduction,survival,,,,,Reduction,Y
"Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel ",593,MIE,Inhibition,Ether-a-go-go,,potassium channel ,,ERG,Inhibition,Y
"modulation, sodium channel",598,MIE,modulation,sodium channel,,,,,modulation,Y
"prolonged, Depolarization of neuronal membrane",599,KE,Prolongation,Depolarization,neuronal membrane,,,,Prolongation,Y
"Overactivation, Neuronotransmitter release",600,KE,Overactivation,Neuronotransmitter,,,,,Overactivation,Y
"Overactivation, muscle contraction",601,KE,Overactivation,muscle contraction,,,,,Overactivation,Y
"Increased, Ataxia, paralysis, or hyperactivity",602,KE,Increase,Ataxia,paralysis,hyperactivity,,,Increase,Y
"Occurrence, Epileptic seizure",613,AO,Occurrence,Epileptic seizure,,,,,Occurrence,Y
"Occurrence, A paroxysmal depolarizing shift",616,KE,Occurrence,A paroxysmal depolarizing,,,,,Occurrence,Y
"Decreased, Neuronal network function in adult brain",618,KE,Decrease,Neuronal network,adult brain,,,,Decrease,Y
"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",619,MIE,Inhibition,5-hydroxytryptamine transporter,,SERT,,5-HTT,Inhibition,Y
"Increase, cilia movement",621,KE,Increase,cilia movement,,,,,Increase,Y
"Increased, locomotion",622,KE,Increase,locomotion,,,,,Increase,Y
"Increase, predation",623,AO,Increase,predation,,,,,Increase,Y
"Increased, foot detachment",624,KE,Increase,foot detachment,,,,,Increase,Y
"Increased, muscular waves in foot",625,KE,Increase,muscular waves,,,,,Increase,Y
"Increased, serotonin (5-HT) ",626,KE,Increase,serotonin,,,,5-HT,Increase,Y
"Decreased, anxiety",627,KE,Decrease,anxiety,,,,,Decrease,Y
"Decreased, sheltering",629,KE,Decrease,sheltering,,,,,Decrease,Y
"Decrease, histaminergic neuron excitation",633,KE,Decrease,histaminergic neuron,excitation,,,,Decrease,Y
"N/A, sedation",634,KE,,sedation,,,,,Sedation,Y
"Decreased, locomotion",635,KE,Decrease,locomotion,,,,,Decrease,Y
"Decreased, survival",636,AO,Decrease,survival,,,,,Decrease,Y
"Antagonism, Histamine Receptor (H2)",638,MIE,Antagonism,Antagonism,H2,,,H2,Antagonism,Y
