AOP_id,AOP_title,AOP_short_name,AOP_AO_1,AOP_AO_id_1,AOP_AO_2,AOP_AO_id_2,AOP_AO_3,AOP_AO_id_3,AOP_AO_4,AOP_AO_id_4,AOP_AO_5,AOP_AO_id_5,AOP_AO_6,AOP_AO_id_6,AOP_AO_7,AOP_AO_id_7,AOP_AO_8,AOP_AO_id_8,AOP_AO_9,AOP_AO_id_9,AOP_AO_10,AOP_AO_id_10,AOP_KE_1,AOP_KE_id_1,AOP_KE_2,AOP_KE_id_2,AOP_KE_3,AOP_KE_id_3,AOP_KE_4,AOP_KE_id_4,AOP_KE_5,AOP_KE_id_5,AOP_KE_6,AOP_KE_id_6,AOP_KE_7,AOP_KE_id_7,AOP_KE_8,AOP_KE_id_8,AOP_KE_9,AOP_KE_id_9,AOP_KE_10,AOP_KE_id_10,AOP_MIE_1,AOP_MIE_id_1,AOP_MIE_2,AOP_MIE_id_2,AOP_MIE_3,AOP_MIE_id_3,AOP_MIE_4,AOP_MIE_id_4,AOP_MIE_5,AOP_MIE_id_5,AOP_MIE_6,AOP_MIE_id_6,AOP_MIE_7,AOP_MIE_id_7,AOP_MIE_8,AOP_MIE_id_8,AOP_MIE_9,AOP_MIE_id_9,AOP_MIE_10,AOP_MIE_id_10,stressor_id_1,stressor_name_1,stressor_id_2,stressor_name_2,stressor_id_3,stressor_name_3,stressor_id_4,stressor_name_4,stressor_id_5,stressor_name_5,stressor_id_6,stressor_name_6,stressor_id_7,stressor_name_7,stressor_id_8,stressor_name_8,stressor_id_9,stressor_name_9,stressor_id_10,stressor_name_10,relation_1,upstream_event_id_1,upstream_event_1,downstream_event_id_1,downstream_event_1,relation_2,upstream_event_id_2,upstream_event_2,downstream_event_id_2,downstream_event_2,relation_3,upstream_event_id_3,upstream_event_3,downstream_event_id_3,downstream_event_3,relation_4,upstream_event_id_4,upstream_event_4,downstream_event_id_4,downstream_event_4,relation_5,upstream_event_id_5,upstream_event_5,downstream_event_id_5,downstream_event_5,relation_6,upstream_event_id_6,upstream_event_6,downstream_event_id_6,downstream_event_6,relation_7,upstream_event_id_7,upstream_event_7,downstream_event_id_7,downstream_event_7,relation_8,upstream_event_id_8,upstream_event_8,downstream_event_id_8,downstream_event_8,relation_9,upstream_event_id_9,upstream_event_9,downstream_event_id_9,downstream_event_9,relation_10,upstream_event_id_10,upstream_event_10,downstream_event_id_10,downstream_event_10
305,5α-reductase inhibition leading to short anogenital distance (AGD) in male (mammalian) offspring,5α-reductase inhibition leading to short AGD,"anogenital distance (AGD), decreased",1688,,,,,,,,,,,,,,,,,,,"Decrease, dihydrotestosterone (DHT) level",1613,"Decrease, androgen receptor activation",1614,"Altered, Transcription of genes by the androgen receptor",286,,,,,,,,,,,,,,,"Inhibition, 5α-reductase",1617,,,,,,,,,,,,,,,,,,,145,Finasteride,,,,,,,,,,,,,,,,,,,2203,1617,"Inhibition, 5α-reductase",1613,"Decrease, dihydrotestosterone (DHT) level",3308,1614,"Decrease, androgen receptor activation",1688,"anogenital distance (AGD), decreased",2334,1613,"Decrease, dihydrotestosterone (DHT) level",1614,"Decrease, androgen receptor activation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,A cholesterol/glucose dysmetabolism initiated Tau-driven AOP toward memory loss (AO) in sporadic Alzheimer's Disease with plausible MIE's plug-ins for environmental neurotoxicants,tau-AOP,Memory Loss,1941,,,,,,,,,,,,,,,,,,,Mitochondrial dysfunction,1816,Oxidative Stress ,1392,Hyperphosphorylation of Tau,1943,Dysfunctional Autophagy,1945,"Accumulation, Cytosolic toxic Tau oligomers",1942,Synaptic dysfunction,1944,Impaired axonial transport,1582,Neuroinflammation,188,Decrease of neuronal network function,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880,1816,Mitochondrial dysfunction,1392,Oxidative Stress ,2886,1392,Oxidative Stress ,1943,Hyperphosphorylation of Tau,2883,1945,Dysfunctional Autophagy,1942,"Accumulation, Cytosolic toxic Tau oligomers",2884,1942,"Accumulation, Cytosolic toxic Tau oligomers",1582,Impaired axonial transport,2887,1582,Impaired axonial transport,1944,Synaptic dysfunction,2885,1944,Synaptic dysfunction,386,Decrease of neuronal network function,2888,1942,"Accumulation, Cytosolic toxic Tau oligomers",188,Neuroinflammation,2881,188,Neuroinflammation,386,Decrease of neuronal network function,2882,386,Decrease of neuronal network function,1941,Memory Loss,,,,,
82,Abnormal role change in worker caste contributes to reduced brood care and leads to colony loss/failure,Chane in caste - Colony loss,"impaired, Larval development",566,"Death/Failure, Colony",563,,,,,,,,,,,,,,,,,"Abnormal, Roll change within caste",564,"Reduced, Brood care",565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,564,"Abnormal, Roll change within caste",565,"Reduced, Brood care",257,565,"Reduced, Brood care",566,"impaired, Larval development",258,566,"impaired, Larval development",563,"Death/Failure, Colony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,ACE2 downregulation following SARS-CoV-2 infection triggers dysregulation of RAAS and can lead to heart failure.,Downregulation of ACE2 causes multi-factorial heart injury and heart failure.,Heart failure ,1535,,,,,,,,,,,,,,,,,,,"Downregulation, ACE2",1787,Angiotensin (1-7) levels diminished,1935,Angiotensin II degradation reduced,1936,"Induced, Angiotensin (Ang) II accumulation",1741,Hyperactivation of ACE/Ang-II/AT1R axis,1853,ADAM17 expression induction,1937,ACE2 increased shedding,1938,,,,,,,Binding to ACE2,1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Acetylcholinesterase inhibition leading to acute mortality,AChE inhibition - acute mortality,Increased Mortality,351,"Decrease, Population growth rate",360,,,,,,,,,,,,,,,,,Acetylcholine accumulation in synapses,10,Increased Cholinergic Signaling,39,Respiratory distress/arrest,445,Dysregulation of heart rate and vascular tone,1703,,,,,,,,,,,,,Acetylcholinesterase (AchE) Inhibition,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2033,12,Acetylcholinesterase (AchE) Inhibition,39,Increased Cholinergic Signaling,155,12,Acetylcholinesterase (AchE) Inhibition,10,Acetylcholine accumulation in synapses,165,10,Acetylcholine accumulation in synapses,39,Increased Cholinergic Signaling,159,12,Acetylcholinesterase (AchE) Inhibition,445,Respiratory distress/arrest,164,39,Increased Cholinergic Signaling,445,Respiratory distress/arrest,2029,12,Acetylcholinesterase (AchE) Inhibition,1703,Dysregulation of heart rate and vascular tone,2027,39,Increased Cholinergic Signaling,1703,Dysregulation of heart rate and vascular tone,2028,1703,Dysregulation of heart rate and vascular tone,445,Respiratory distress/arrest,158,445,Respiratory distress/arrest,351,Increased Mortality,160,12,Acetylcholinesterase (AchE) Inhibition,351,Increased Mortality
312,Acetylcholinesterase Inhibition leading to Acute Mortality via Impaired Coordination & Movement​,AChE inhibition - acute mortality via predation,Increased Mortality,351,"Decrease, Population growth rate",360,,,,,,,,,,,,,,,,,Acetylcholine accumulation in synapses,10,Increased Cholinergic Signaling,39,Impaired coordination and movement,1705,,,,,,,,,,,,,,,Acetylcholinesterase (AchE) Inhibition,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034,12,Acetylcholinesterase (AchE) Inhibition,10,Acetylcholine accumulation in synapses,2039,12,Acetylcholinesterase (AchE) Inhibition,39,Increased Cholinergic Signaling,2035,10,Acetylcholine accumulation in synapses,39,Increased Cholinergic Signaling,2040,12,Acetylcholinesterase (AchE) Inhibition,1705,Impaired coordination and movement,2036,39,Increased Cholinergic Signaling,1705,Impaired coordination and movement,2041,1705,Impaired coordination and movement,360,"Decrease, Population growth rate",2037,1705,Impaired coordination and movement,351,Increased Mortality,2038,351,Increased Mortality,360,"Decrease, Population growth rate",,,,,,,,,,
281,Acetylcholinesterase Inhibition Leading to Neurodegeneration,AChE Inhibition Leading to Neurodegeneration,"N/A, Neurodegeneration",352,,,,,,,,,,,,,,,,,,,Acetylcholine accumulation in synapses,10,"Activation, Muscarinic Acetylcholine Receptors",1602,"Occurrence, Focal Seizure",1623,"Increased, glutamate",1350,"Overactivation, NMDARs",388,Status epilepticus,1788,"Increased, Intracellular Calcium overload",389,Cell injury/death,55,,,,,Acetylcholinesterase (AchE) Inhibition,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801,12,Acetylcholinesterase (AchE) Inhibition,10,Acetylcholine accumulation in synapses,1803,10,Acetylcholine accumulation in synapses,1602,"Activation, Muscarinic Acetylcholine Receptors",1855,1602,"Activation, Muscarinic Acetylcholine Receptors",1623,"Occurrence, Focal Seizure",3250,1623,"Occurrence, Focal Seizure",1350,"Increased, glutamate",3251,1350,"Increased, glutamate",388,"Overactivation, NMDARs",3249,388,"Overactivation, NMDARs",1788,Status epilepticus,3252,1788,Status epilepticus,1350,"Increased, glutamate",1802,388,"Overactivation, NMDARs",389,"Increased, Intracellular Calcium overload",3253,1788,Status epilepticus,389,"Increased, Intracellular Calcium overload",1808,389,"Increased, Intracellular Calcium overload",55,Cell injury/death
210,Activation of c-Jun N-terminal kinase (JNK) and Forkhead box O (FOXO) and reduction of WNT pathways leading to reproductive failure: Integrated multi-OMICS approach for AOP building,"JNK, FOXO and WNT alteration leading to reproductive failure: Multi-OMICS approach",Reproductive failure,1277,,,,,,,,,,,,,,,,,,,Peptide Oxidation,209,"Activation, JNK",1292,"Activation, FOXO",1293,"Inhibition, Wnt pathway",1294,Defect of Embryogenesis,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,Graphene oxide nanoparticles,,,,,,,,,,,,,,,,,,,1116,209,Peptide Oxidation,1292,"Activation, JNK",1117,1292,"Activation, JNK",1293,"Activation, FOXO",1118,1293,"Activation, FOXO",1294,"Inhibition, Wnt pathway",1119,1294,"Inhibition, Wnt pathway",1295,Defect of Embryogenesis,1120,1295,Defect of Embryogenesis,1277,Reproductive failure,,,,,,,,,,,,,,,,,,,,,,,,,
499,Activation of MEK-ERK1/2 leads to deficits in learning and cognition via disrupted neurotransmitter release,MEK-ERK1/2 activation leading to deficits in learning and cognition,"Impairment, Learning and memory",341,,,,,,,,,,,,,,,,,,,"Increase, intracellular calcium",1339,"Disruption, neurotransmitter release",2151,,,,,,,,,,,,,,,,,"Activation of mitogen-activated protein kinase kinase, extracellular signal-regulated kinase 1/2",2146,,,,,,,,,,,,,,,,,,,59,Lead,635,Arsenic,335,Cadmium,721,Manganese,675,"Heavy metals (cadmium, lead, copper, iron, nickel)",,,,,,,,,,,3492,2146,"Activation of mitogen-activated protein kinase kinase, extracellular signal-regulated kinase 1/2",1339,"Increase, intracellular calcium",3507,1339,"Increase, intracellular calcium",2151,"Disruption, neurotransmitter release",3508,2151,"Disruption, neurotransmitter release",341,"Impairment, Learning and memory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis,MEK-ERK1/2 activation leading to deficits in learning and cognition via ROS,"Impairment, Learning and memory",341,,,,,,,,,,,,,,,,,,,"Increase, intracellular calcium",1339,"Increase, Mitochondrial Dysfunction",1968,"Increased, Reactive oxygen species",1115,Apoptosis,1262,"N/A, Neurodegeneration",352,,,,,,,,,,,"Activation of mitogen-activated protein kinase kinase, extracellular signal-regulated kinase 1/2",2146,,,,,,,,,,,,,,,,,,,675,"Heavy metals (cadmium, lead, copper, iron, nickel)",59,Lead,635,Arsenic,335,Cadmium,721,Manganese,,,,,,,,,,,3495,2146,"Activation of mitogen-activated protein kinase kinase, extracellular signal-regulated kinase 1/2",1339,"Increase, intracellular calcium",3527,1339,"Increase, intracellular calcium",1262,Apoptosis,3496,1339,"Increase, intracellular calcium",1968,"Increase, Mitochondrial Dysfunction",3523,1968,"Increase, Mitochondrial Dysfunction",1115,"Increased, Reactive oxygen species",3525,1115,"Increased, Reactive oxygen species",1262,Apoptosis,3526,1262,Apoptosis,352,"N/A, Neurodegeneration",3520,352,"N/A, Neurodegeneration",341,"Impairment, Learning and memory",,,,,,,,,,,,,,,
462,Activation of reactive oxygen species leading the atherosclerosis,Activation of ROS leading the atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Activation of the AhR leading to breast cancer ,AhR activation to breast cancer,"N/A, Breast Cancer",1193,,,,,,,,,,,,,,,,,,,"Increase, Inflammation",149,Apoptosis,1262,"Increased, Motility",1241,"Increased, Migration (Endothelial Cells)",1190,"Increased, Invasion",1196,"Increase, angiogenesis",1376,"Increased, tumor growth",1971,,,,,,,"Activation, AhR",18,,,,,,,,,,,,,,,,,,,249,"2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD)",,,,,,,,,,,,,,,,,,,2953,18,"Activation, AhR",149,"Increase, Inflammation",2954,18,"Activation, AhR",1262,Apoptosis,2955,18,"Activation, AhR",1241,"Increased, Motility",2956,18,"Activation, AhR",1190,"Increased, Migration (Endothelial Cells)",2957,18,"Activation, AhR",1196,"Increased, Invasion",2958,149,"Increase, Inflammation",1196,"Increased, Invasion",2959,149,"Increase, Inflammation",1376,"Increase, angiogenesis",2960,1241,"Increased, Motility",1196,"Increased, Invasion",2961,1190,"Increased, Migration (Endothelial Cells)",1376,"Increase, angiogenesis",2962,1196,"Increased, Invasion",1193,"N/A, Breast Cancer"
503,"Activation of uterine estrogen receptor-alfa leading to endometrial adenocarcinoma, via epigenetic modulation","Activation of uterine estrogen receptor-alfa, endometrial adenocarcinoma",Uterine adenocarcinoma (endometrioid adenocarcinoma Type I),2154,,,,,,,,,,,,,,,,,,,Epigenetic modification process,2152,"Expression of factors ruling proliferation, modified",2153,"Increase, Hyperplasia (glandular epithelial cells of endometrium)",772,Genomic instability,1896,,,,,,,,,,,,,"Activation, estrogen receptor alpha",1065,,,,,,,,,,,,,,,,,,,172,Tamoxifen,4,17beta-Estradiol,,,,,,,,,,,,,,,,,3528,1065,"Activation, estrogen receptor alpha",2152,Epigenetic modification process,3529,2152,Epigenetic modification process,2153,"Expression of factors ruling proliferation, modified",3530,2153,"Expression of factors ruling proliferation, modified",772,"Increase, Hyperplasia (glandular epithelial cells of endometrium)",3531,772,"Increase, Hyperplasia (glandular epithelial cells of endometrium)",1896,Genomic instability,3532,1896,Genomic instability,2154,Uterine adenocarcinoma (endometrioid adenocarcinoma Type I),,,,,,,,,,,,,,,,,,,,,,,,,
